Sample	Class	lib.size
SRR6808633	inf_ln2	24777773
SRR6808635	inf_ln2	26521564
SRR6808636	inf_ln2	27198528
SRR6808641	inf_ln7	26993601
SRR6808642	inf_ln7	26868880
SRR6808643	inf_ln7	26009572
SRR6808644	ctrl_ln2	26834432
SRR6808645	ctrl_ln2	28415912
SRR6808646	ctrl_ln2	26900469
SRR6808648	ctrl_f2	25998549
SRR6808649	ctrl_f2	24612081
SRR6808650	ctrl_f2	25906081
SRR6808651	inf_f7	28056143
SRR6808652	inf_f7	29309478
SRR6808653	inf_f7	29138000
SRR6808654	inf_f2	27735628
SRR6808655	inf_f2	27998256
SRR6808656	inf_f2	27290292

