"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"P1" 1.29306373717041 "INF" "P1" 1.65663064856917 "INF"
"P104" 1.40403614713202 "INF" "P104" 1.9931514360968 "INF"
"P10C" 0.193927784437267 "CTRL" "P10C" 0.13177235966692 "CTRL"
"P11" 2.01747165954101 "INF" "P11" 3.09702881928913 "INF"
"P11C" 0.0738040914773373 "CTRL" "P11C" 0.110604271149648 "CTRL"
"P11SP" 0.304262551339873 "CTRL" "P11SP" 0.266919805524079 "CTRL"
"P12C" 0.0572900128212876 "CTRL" "P12C" 0.0798528087459174 "CTRL"
"P12SP" 0.434559746345178 "CTRL" "P12SP" 0.398925866049192 "CTRL"
"P13C" 0.0323731774157242 "CTRL" "P13C" 0.0472971447562539 "CTRL"
"P13SP" 0.117395958597256 "CTRL" "P13SP" 0.142768716383739 "CTRL"
"P14" 1.49237338429704 "INF" "P14" 2.07755866823085 "INF"
"P14C" 0.0515012483590016 "CTRL" "P14C" 0.0792336510449217 "CTRL"
"P14SP" 0.463199461409215 "CTRL" "P14SP" 0.351474514751442 "CTRL"
"P15C" 0.121945629362719 "CTRL" "P15C" 0.174864183580135 "CTRL"
"P16" 1.08848602594181 "INF" "P16" 1.49153107616365 "INF"
"P18" 1.16083309237505 "INF" "P18" 1.49373926441901 "INF"
"P19" 1.31880712195745 "INF" "P19" 1.65655791708305 "INF"
"P1C" 0.10824995335159 "CTRL" "P1C" 0.06756140506842 "CTRL"
"P2" 1.42754242611975 "INF" "P2" 1.81501084158762 "INF"
"P20" 1.37272466590048 "INF" "P20" 1.68359307601204 "INF"
"P21" 1.19710113191566 "INF" "P21" 1.47194337564603 "INF"
"P23" 1.70977826999372 "INF" "P23" 2.24352763736879 "INF"
"P2C" 0.074001477670389 "CTRL" "P2C" 0.116441779048312 "CTRL"
"P32" 1.84899626148334 "INF" "P32" 2.57088802299259 "INF"
"P34" 1.36262508434517 "INF" "P34" 1.23157633523384 "INF"
"P36" 1.1747154111328 "INF" "P36" 1.59974949540686 "INF"
"P37" 1.47925144827141 "INF" "P37" 1.71931972485675 "INF"
"P38" 2.11091269547309 "INF" "P38" 3.00687189807861 "INF"
"P39" 1.43316836323529 "INF" "P39" 1.59692536137531 "INF"
"P3C" 0.0931320501892715 "CTRL" "P3C" 0.0844911069681653 "CTRL"
"P4" 0.929940183296444 "INF" "P4" 0.909537215345407 "INF"
"P40" 1.37090103618436 "INF" "P40" 1.7194194044812 "INF"
"P41" 1.73479174934962 "INF" "P41" 2.55115113621715 "INF"
"P42" 2.68393469783552 "INF" "P42" 4.82287018286451 "INF"
"P47" 1.45632500194893 "INF" "P47" 1.39368686455864 "INF"
"P4C" 0.0973961929343076 "CTRL" "P4C" 0.170559705839826 "CTRL"
"P54" 0.629051381266722 "INF" "P54" 0.701653750071 "INF"
"P5C" 0.0597633245125869 "CTRL" "P5C" 0.095145974685468 "CTRL"
"P6" 2.25166479854407 "INF" "P6" 3.55374900290065 "INF"
"P6C" 0.0580874873684223 "CTRL" "P6C" 0.0975651157952006 "CTRL"
"P7" 1.00089348365201 "INF" "P7" 1.10356275996753 "INF"
"P7C" 0.11897266000397 "CTRL" "P7C" 0.15773963382388 "CTRL"
"P8" 1.53018856245431 "INF" "P8" 1.75498794805632 "INF"
"P8C" 0.0484046252131948 "CTRL" "P8C" 0.0685970870673806 "CTRL"
"P9" 2.07754084868964 "INF" "P9" 2.93662903566108 "INF"
"P92" 3.10145483220397 "INF" "P92" 5.17088641557148 "INF"
"P9C" 0.11031065925478 "CTRL" "P9C" 0.151332782799537 "CTRL"
"P9SP" 0.110416473805961 "CTRL" "P9SP" 0.131189755042731 "CTRL"
"PZIAKG11" 0.478589314888543 "INF" "PZIAKG11" 0.349682177765842 "INF"
"PZIKAG14" 0.757780893607336 "INF" "PZIKAG14" 0.759989706067309 "INF"
"SRR5680252" 2.24311711995521 "acute" "SRR5680252" 3.61803058611773 "acute"
"SRR5680253" 2.16521828808346 "acute" "SRR5680253" 3.44829637292766 "acute"
"SRR5680255" 2.24678038320001 "conv" "SRR5680255" 3.657277915845 "conv"
"SRR5680256" 2.49075693165465 "acute" "SRR5680256" 4.44362984042718 "acute"
"SRR5680257" 2.41046999136275 "acute" "SRR5680257" 4.34584598820857 "acute"
"SRR5680258" 3.01691575379609 "conv" "SRR5680258" 5.60016029785013 "conv"
"SRR5680259" 2.98146855388406 "conv" "SRR5680259" 5.55192389537918 "conv"
"SRR5680260" 2.85108628981569 "acute" "SRR5680260" 4.69251603130464 "acute"
