Gene	Symbol|Child_inf_vs_control	Mouse.gene.name|Mouse_FOOTDay2inf_vs_control	logFC|Adult_inf_vs_control	logFC|Child_inf_vs_control	logFC|Mouse_LNDay2inf_vs_control	logFC|Mouse_FOOTDay2inf_vs_control	FDR|Adult_inf_vs_control	FDR|Child_inf_vs_control	FDR|Mouse_LNDay2inf_vs_control	FDR|Mouse_FOOTDay2inf_vs_control	-logPFDR|Adult_inf_vs_control	-logPFDR|Child_inf_vs_control	-logPFDR|Mouse_LNDay2inf_vs_control	-logPFDR|Mouse_FOOTDay2inf_vs_control	DEG|Adult_inf_vs_control	DEG|Child_inf_vs_control	DEG|Mouse_LNDay2inf_vs_control	DEG|Mouse_FOOTDay2inf_vs_control	Number_UP	Number_DOWN
ENSG00000198756	COLGALT2	Colgalt2	-1.7580	-1.4996	-1.4215	-1.2049	0.0000	0.0000	0.0000	0.0000	6.2807	16.3449	5.1101	6.0283	DOWN	DOWN	DOWN	DOWN	0	4
ENSG00000138411	HECW2	Hecw2	-1.3590	1.2169	-1.2374	-1.0329	0.0000	0.0000	0.0000	0.0000	5.1918	22.6925	4.7122	4.4634	DOWN	UP	DOWN	DOWN	1	3
ENSG00000136999	NOV	Ccn3	-2.3997	-2.0638	-0.1609	-1.1153	0.0000	0.0000	0.5181	0.0000	10.2541	24.7100	0.2856	9.9957	DOWN	DOWN	NO	DOWN	0	3
ENSG00000171659	GPR34	Gpr34	-2.5815	-1.0629	-0.8322	-2.6994	0.0000	0.0000	0.0000	0.0000	9.7399	8.5017	5.8601	13.3233	DOWN	DOWN	NO	DOWN	0	3
ENSG00000123612	ACVR1C	Acvr1c	-1.7437	-1.2359	-0.9707	-1.7340	0.0000	0.0000	0.0000	0.0000	7.3799	17.8928	4.9586	6.6038	DOWN	DOWN	NO	DOWN	0	3
ENSG00000166313	APBB1	Apbb1	-1.1324	-1.2837	-1.0280	-0.5474	0.0000	0.0000	0.0000	0.0001	5.6778	7.8665	5.1831	3.8957	DOWN	DOWN	DOWN	NO	0	3
ENSG00000080493	SLC4A4	Slc4a4	-1.3357	-1.0711	-1.0326	0.1886	0.0000	0.0000	0.0009	0.4493	6.5850	17.8477	3.0252	0.3474	DOWN	DOWN	DOWN	NO	0	3
ENSG00000136866	ZFP37	Zfp37	-2.6506	-1.0076	-1.0332	-0.4964	0.0000	0.0000	0.0009	0.0405	11.9431	21.8996	3.0673	1.3928	DOWN	DOWN	DOWN	NO	0	3
ENSG00000003096	KLHL13	Klhl13	-1.4650	-1.0592	-1.0375	-0.6184	0.0000	0.0000	0.0000	0.0019	5.9586	11.7471	4.3188	2.7211	DOWN	DOWN	DOWN	NO	0	3
ENSG00000197992	CLEC9A	Clec9a	-1.5241	-1.0009	-1.0581	0.4851	0.0000	0.0000	0.0000	0.1216	6.6440	8.6326	5.9281	0.9150	DOWN	DOWN	DOWN	NO	0	3
ENSG00000164930	FZD6	Fzd6	-1.3020	-1.0616	-1.0969	-0.0043	0.0000	0.0000	0.0000	0.9830	5.3497	15.8297	5.2604	0.0074	DOWN	DOWN	DOWN	NO	0	3
ENSG00000116106	EPHA4	Epha4	-1.0463	-1.3410	-1.1142	-0.3123	0.0000	0.0000	0.0003	0.0477	5.4342	32.3080	3.5169	1.3213	DOWN	DOWN	DOWN	NO	0	3
ENSG00000114739	ACVR2B	Acvr2b	-1.9478	-1.1927	-1.1315	0.1263	0.0000	0.0000	0.0000	0.3997	10.4660	28.2381	5.4989	0.3982	DOWN	DOWN	DOWN	NO	0	3
ENSG00000139970	RTN1	Rtn1	-1.9899	-1.2040	-1.1640	-0.8288	0.0000	0.0000	0.0000	0.0000	11.2660	18.5784	8.0660	4.3507	DOWN	DOWN	DOWN	NO	0	3
ENSG00000170558	CDH2	Cdh2	-2.8235	-1.2976	-1.1896	-0.7165	0.0000	0.0000	0.0000	0.0001	8.9431	8.2899	7.0232	4.2083	DOWN	DOWN	DOWN	NO	0	3
ENSG00000132514	CLEC10A	Clec10a	-1.2241	-0.2426	-1.2285	-1.0322	0.0000	0.2024	0.0000	0.0000	6.2874	0.6939	6.1107	5.1002	DOWN	NO	DOWN	DOWN	0	3
ENSG00000170264	FAM161A	Fam161a	-1.2339	-0.6878	-1.3013	-1.0631	0.0000	0.0000	0.0000	0.0001	4.9788	6.8827	4.5670	4.2958	DOWN	NO	DOWN	DOWN	0	3
