Gene stable ID	Gene stable ID version	Mouse gene stable ID	Mouse gene name
ENSG00000210049	ENSG00000210049.1		
ENSG00000211459	ENSG00000211459.2		
ENSG00000210077	ENSG00000210077.1		
ENSG00000210082	ENSG00000210082.2		
ENSG00000209082	ENSG00000209082.1		
ENSG00000198888	ENSG00000198888.2	ENSMUSG00000064341	mt-Nd1
ENSG00000210100	ENSG00000210100.1		
ENSG00000210107	ENSG00000210107.1		
ENSG00000210112	ENSG00000210112.1		
ENSG00000198763	ENSG00000198763.3	ENSMUSG00000064345	mt-Nd2
ENSG00000210117	ENSG00000210117.1		
ENSG00000210127	ENSG00000210127.1		
ENSG00000210135	ENSG00000210135.1		
ENSG00000210140	ENSG00000210140.1		
ENSG00000210144	ENSG00000210144.1		
ENSG00000198804	ENSG00000198804.2	ENSMUSG00000064351	mt-Co1
ENSG00000210151	ENSG00000210151.2		
ENSG00000210154	ENSG00000210154.1		
ENSG00000198712	ENSG00000198712.1	ENSMUSG00000064354	mt-Co2
ENSG00000210156	ENSG00000210156.1		
ENSG00000228253	ENSG00000228253.1	ENSMUSG00000064356	mt-Atp8
ENSG00000198899	ENSG00000198899.2	ENSMUSG00000064357	mt-Atp6
ENSG00000198938	ENSG00000198938.2	ENSMUSG00000064358	mt-Co3
ENSG00000210164	ENSG00000210164.1		
ENSG00000198840	ENSG00000198840.2	ENSMUSG00000064360	mt-Nd3
ENSG00000210174	ENSG00000210174.1		
ENSG00000212907	ENSG00000212907.2	ENSMUSG00000065947	mt-Nd4l
ENSG00000198886	ENSG00000198886.2	ENSMUSG00000064363	mt-Nd4
ENSG00000210176	ENSG00000210176.1		
ENSG00000210184	ENSG00000210184.1		
ENSG00000210191	ENSG00000210191.1		
ENSG00000198786	ENSG00000198786.2	ENSMUSG00000064367	mt-Nd5
ENSG00000198695	ENSG00000198695.2	ENSMUSG00000064368	mt-Nd6
ENSG00000210194	ENSG00000210194.1		
ENSG00000198727	ENSG00000198727.2	ENSMUSG00000064370	mt-Cytb
ENSG00000210195	ENSG00000210195.2		
ENSG00000210196	ENSG00000210196.2		
ENSG00000201217	ENSG00000201217.1		
ENSG00000200036	ENSG00000200036.1		
ENSG00000241791	ENSG00000241791.3		
ENSG00000252050	ENSG00000252050.1		
ENSG00000200898	ENSG00000200898.1	ENSMUSG00000088668	Gm25335
ENSG00000252396	ENSG00000252396.1	ENSMUSG00000088014	Gm23743
ENSG00000199509	ENSG00000199509.1		
ENSG00000206991	ENSG00000206991.1		
ENSG00000252429	ENSG00000252429.2		
ENSG00000207507	ENSG00000207507.1		
ENSG00000201231	ENSG00000201231.1		
ENSG00000201968	ENSG00000201968.1		
